"ID"	"VAR00"	"VAR00_1"	"VAR01"	"VAR02"	"VAR03"	"VAR03_1"	"VAR04_1"	"VAR04_2"	"VAR04_3"	"VAR04_4"	"VAR04_5"	"VAR04_6"	"VAR04_7"	"VAR04_8"	"VAR04_9"	"VAR04_10"	"VAR04_11"	"VAR04_12"	"VAR04_13"	"VAR04_14"	"VAR04_15"	"VAR04_16"	"VAR05_1"	"VAR05_2"	"VAR05_3"	"VAR05_4"	"VAR05_5"	"VAR05_6"	"VAR05_7"	"VAR06_1"	"VAR06_2"	"VAR06_3"	"VAR06_4"	"VAR06_5"	"VAR06_6"	"VAR07_1"	"VAR07_2"	"VAR07_3"	"VAR07_4"	"VAR07_5"	"VAR07_6"	"VAR07_7"	"VAR07_8"	"VAR07_9"	"VAR08_1"	"VAR08_2"	"VAR08_3"	"VAR08_4"	"VAR08_5"	"VAR08_6"	"VAR09_1"	"demo_age"	"demo_gender"	"VAR12"	"VAR12_1"	"VAR13"	"VAR14"	"VAR14_1"	"VAR15"	"VAR16"	"VAR17"	"VAR18"	"demo_nationality"	"gen_insec_mean"	"dest_info_mean"	"gen_trav_sum"	"gen_trav_int"	"gen_trav_bin"	"dest_sec"	"dest_trav_int"
44	1	1	5	2	4	1	5	5	5	5	4	4	4	5	5	3	3	4	5	5	5	3	5	5	5	5	5	5	5	3	2	2	4	3	2	1	1	1	1	1	1	2	1	2	1	2	1	2	1	2	5	23	"female"	1	1	4	4	1	10	0	3	0	"swe"	1.5	2.8	3	2	2	5	5
45	1	1	5	7	4	1	5	5	5	5	5	5	5	5	5	5	NA	5	5	5	5	3	5	5	5	5	5	5	5	3	3	3	3	3	3	4	1	4	1	1	1	1	1	1	4	4	4	4	1	1	5	46	"male"	1	1	2	3	1	2	0	1	0	"swe"	3	3	1	1	1	5	5
46	7	1	5	1	4	1	5	5	5	5	NA	5	5	2	5	5	NA	5	5	2	2	2	5	5	5	5	5	5	5	1	4	1	2	4	5	1	1	1	4	1	1	1	1	1	1	5	5	1	1	1	5	75	"male"	1	1	2	2	1	10	0	4	0	"swe"	2.33333333333333	2.4	4	3	2	2	5
47	1	1	5	5	4	1	5	5	5	5	4	5	5	3	4	5	1	NA	5	4	4	1	5	5	2	5	5	5	3	1	1	1	1	1	2	2	2	3	3	2	2	3	3	3	3	3	4	1	5	5	3	43	"female"	2	1	3	3	1	3	8	3	3	"int"	3.5	1	6	3	2	4	5
48	11	3	3	1	3	1	5	5	5	5	NA	5	5	5	5	NA	NA	NA	5	5	5	NA	5	5	6	6	5	5	5	2	1	2	2	2	2	2	1	2	1	1	1	1	1	1	2	2	1	1	1	1	4	49	"male"	1	1	8	6	1	6	4	1	4	"swe"	1.33333333333333	1.8	5	3	2	5	3
49	11	4	5	1	4	1	5	5	5	5	NA	5	5	5	2	NA	NA	NA	5	5	NA	NA	5	1	5	5	5	5	5	1	4	1	4	4	4	1	1	1	1	2	2	4	1	1	1	4	1	1	1	1	5	36	"female"	1	1	2	5	1	10	10	1	5	"swe"	1.5	2.8	6	3	2	NA	5
50	11	19	5	1	7	20	5	5	5	5	NA	5	5	2	NA	3	NA	4	5	4	3	3	5	3	5	5	5	5	5	1	2	1	2	4	1	2	1	1	3	4	1	4	4	4	2	2	2	2	2	4	5	70	"female"	1	1	6	5	1	50	100	12	0	"swe"	2.33333333333333	2	12	3	2	3	5
51	11	5	2	12	4	1	4	4	4	4	3	4	4	4	3	3	4	4	4	5	4	3	4	4	4	4	4	4	4	2	4	3	4	3	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	47	"female"	6	1	6	3	1	1	0	0	0	"int"	2	3.2	0	1	1	4	2
52	1	1	5	1	3	1	5	5	5	5	NA	5	NA	4	NA	NA	NA	2	5	5	5	NA	5	5	5	5	5	5	5	1	1	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	62	"male"	1	1	8	7	1	20	20	1	2	"swe"	1	3.4	3	2	2	5	5
53	11	7	3	1	7	36	3	5	3	5	3	5	NA	5	NA	NA	NA	NA	5	5	5	2	5	5	5	5	5	5	5	4	4	4	5	5	2	1	1	1	2	4	2	1	2	1	4	4	2	1	1	1	5	70	"male"	1	1	4	5	1	2	0	1	0	"swe"	2.16666666666667	4.4	1	1	1	5	3
54	1	1	3	7	7	27	3	NA	NA	4	NA	5	4	4	NA	4	1	NA	4	4	5	NA	5	5	6	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	1	1	1	4	67	"male"	9	1	8	6	1	20	0	2	0	"int"	2	1	2	2	2	5	3
55	11	11	5	2	7	13	3	1	3	1	3	3	3	3	3	3	1	3	3	1	3	1	4	4	4	5	4	4	4	5	5	5	5	1	5	1	1	1	1	4	2	4	1	2	2	2	4	5	2	5	5	36	"female"	1	1	3	6	1	15	1	0	0	"swe"	3.33333333333333	4.2	0	1	1	3	5
56	1	1	5	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	18	"female"	1	1	4	3	1	60	0	0	0	"swe"	1	1.4	0	1	1	1	5
57	1	1	5	2	2	1	3	5	4	5	3	4	5	5	3	2	2	3	3	4	4	2	5	4	4	3	3	2	4	2	3	2	4	4	4	2	2	2	2	3	3	2	4	2	4	4	3	2	3	1	5	18	"female"	1	1	5	3	1	62	0	3	0	"swe"	2.83333333333333	3	3	2	2	4	5
58	1	1	2	6	4	1	NA	NA	5	NA	NA	5	5	5	5	NA	NA	NA	NA	5	3	3	3	5	6	2	5	6	4	1	1	1	1	1	1	1	1	2	4	2	1	4	1	1	1	4	4	1	1	1	3	44	"male"	2	1	3	3	1	1	0	1	0	"int"	2	1	1	1	1	3	2
59	1	1	5	1	2	1	5	5	5	5	5	5	5	4	5	5	4	NA	5	4	5	NA	5	5	5	3	5	6	5	4	5	2	2	2	5	1	1	4	1	1	1	1	1	1	5	5	5	5	2	2	5	21	"female"	1	1	6	3	1	5	0	1	0	"swe"	4	3	1	1	1	5	5
60	11	30	5	1	2	1	5	5	5	5	3	4	5	5	5	5	3	NA	5	5	5	3	5	5	5	5	5	5	5	1	1	5	5	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	5	71	"female"	1	1	4	5	1	20	16	2	0	"swe"	1.16666666666667	2.6	2	2	2	5	5
61	1	1	5	1	4	1	NA	5	5	5	NA	5	5	3	2	NA	5	NA	5	5	3	NA	5	5	5	5	5	5	5	1	1	4	4	4	4	1	1	1	1	1	1	1	1	1	4	4	3	1	1	2	4	26	"male"	1	1	5	3	1	10	0	2	0	"swe"	2.5	2.8	2	2	2	3	5
62	1	1	5	2	4	1	3	5	4	5	3	4	4	5	3	3	3	3	5	5	3	3	5	5	5	5	5	5	5	3	1	1	1	1	4	1	1	1	1	2	1	1	1	1	2	4	2	2	2	2	5	50	"female"	1	1	4	3	1	5	0	1	0	"swe"	2.33333333333333	1.4	1	1	1	3	5
63	1	1	3	210	7	35	3	4	5	5	3	5	5	4	5	3	3	NA	5	5	5	NA	5	5	5	5	5	5	5	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	4	4	2	2	2	1	5	20	"male"	6	1	4	3	1	12	0	4	0	"int"	2.5	1.2	4	3	2	5	3
64	1	1	3	1	3	1	NA	5	NA	5	5	5	5	5	5	NA	NA	NA	NA	NA	4	NA	5	5	5	5	5	6	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	36	"female"	7	1	3	5	1	3	2	2	0	"int"	1	1	2	2	2	4	3
65	7	1	4	3	1	1	5	5	5	5	4	4	5	4	4	4	2	4	4	4	5	4	4	4	4	5	4	5	5	5	5	4	4	5	4	2	2	1	2	2	2	4	4	2	5	5	4	5	4	4	5	74	"female"	1	1	4	2	1	6	0	1	0	"swe"	4.5	4.6	1	1	1	5	4
66	7	1	5	4	4	1	5	5	5	5	4	5	5	4	4	5	3	4	4	4	4	4	5	5	5	5	5	5	5	4	3	3	3	3	3	5	5	5	4	2	2	2	2	2	4	4	4	2	2	2	5	70	"male"	1	1	5	3	1	10	0	3	0	"swe"	3	3.2	3	2	2	4	5
67	7	1	5	11	4	1	5	3	4	4	3	5	4	2	1	5	5	4	5	5	5	4	5	5	5	4	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	80	"female"	1	1	3	4	1	1	0	3	0	"swe"	1.5	1	3	2	2	5	5
68	7	1	5	5	1	1	5	5	5	5	5	4	5	5	5	4	4	5	5	4	5	4	5	2	5	5	5	5	5	5	5	5	5	5	5	2	5	1	2	5	2	2	2	2	4	5	5	4	4	4	5	20	"female"	1	1	7	3	1	3	0	3	0	"swe"	4.33333333333333	5	3	2	2	5	5
69	7	1	1	3	1	1	5	5	5	5	5	5	5	4	NA	4	NA	NA	5	5	5	NA	5	5	6	6	5	5	5	2	4	3	2	2	4	2	3	3	2	2	2	2	4	2	2	4	2	2	2	2	5	38	"female"	12	3	7	6	1	2	2	2	0	"int"	2.33333333333333	2.6	2	2	2	5	1
70	7	1	4	1	1	1	5	5	3	4	3	3	5	2	3	3	1	3	5	2	4	3	5	4	4	5	5	3	3	1	1	1	4	1	3	3	1	1	1	1	1	1	1	1	4	4	1	1	1	1	4	35	"female"	1	1	5	3	1	2	1	1	0	"swe"	2	1.6	1	1	1	4	4
71	7	1	5	3	4	1	5	5	5	5	5	5	5	4	4	3	3	5	5	5	5	4	5	5	5	5	5	5	5	4	4	4	4	4	4	1	1	1	1	1	1	1	1	1	4	4	4	4	3	3	5	29	"male"	1	1	4	5	1	10	4	2	0	"swe"	3.66666666666667	4	2	2	2	5	5
72	7	1	4	4	1	1	4	4	4	4	4	4	4	4	4	4	4	NA	NA	4	4	NA	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	4	2	2	4	4	4	4	4	4	5	70	"male"	10	1	8	5	1	4	6	3	1	"int"	4	4	4	3	2	4	4
73	7	1	1	4	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	65	"female"	10	1	8	4	1	2	3	2	0	"int"	2	4	2	2	2	4	1
74	7	1	5	3	1	1	3	5	5	5	NA	5	5	4	5	5	NA	NA	5	4	4	NA	5	5	5	5	5	5	5	2	2	1	2	2	2	1	1	1	2	2	2	3	2	1	3	1	3	2	1	2	4	46	"female"	1	1	8	5	1	4	0	1	0	"swe"	2	1.8	1	1	1	4	5
75	7	1	5	1	2	1	5	5	5	5	5	5	5	4	5	4	4	5	4	5	5	4	5	5	5	5	5	5	5	5	4	4	4	4	5	1	1	1	1	1	1	2	1	2	4	4	4	4	3	3	5	26	"female"	1	1	5	5	1	8	4	1	0	"swe"	3.66666666666667	4.2	1	1	1	5	5
76	7	1	1	2	1	1	5	5	5	5	5	5	5	5	5	5	4	3	5	2	4	3	5	5	5	5	5	5	5	2	2	2	2	2	2	1	1	1	1	1	2	1	1	1	4	4	4	4	4	4	4	29	"female"	1	1	6	3	1	2	0	0	0	"swe"	4	2	0	1	1	4	1
77	7	1	1	3	4	1	4	4	4	5	NA	5	5	5	4	5	4	NA	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	2	2	3	2	3	3	2	4	4	4	4	3	4	4	28	"female"	12	20	3	6	1	2	4	3	2	"int"	3.83333333333333	4	5	3	2	4	1
78	7	1	1	3	4	1	5	NA	4	4	NA	5	5	5	5	NA	NA	NA	NA	3	4	NA	4	4	4	4	4	4	4	4	4	4	3	3	4	2	2	2	2	3	2	3	3	2	4	4	4	4	2	2	4	28	"female"	12	20	4	6	1	2	0	3	20	"int"	3.33333333333333	3.6	23	3	2	4	1
79	7	1	1	4	1	1	5	NA	4	4	5	4	4	4	4	NA	2	NA	4	4	5	4	4	4	4	4	4	4	4	4	4	3	3	3	2	2	2	2	2	2	2	2	4	3	2	3	2	2	2	2	5	25	NA	11	1	5	5	1	3	0	3	0	"int"	2.16666666666667	3.4	3	2	2	5	1
